infinitive_english,mood_english,tense_english,verb_english,form_1s_english,form_2s_english,form_3s_english,form_1p_english,form_2p_english,form_3p_english,infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,gerund_english,pastparticiple,pastparticiple_english
"to keep quiet , be quiet, shut up, be silent, remain silent",Indicative,Preterite (Archaic),I had kept quiet,,,,,,,callarse,Indicativo,Pretérito anterior,me hube callado,te hubiste callado,se hubo callado,nos hubimos callado,os hubisteis callado,se hubieron callado,callándose,keeping quiet,callado,quiet
"to keep quiet , be quiet, shut up, be silent, remain silent",Indicative,Conditional Perfect,I would have kept quiet,would have quiet,would have quiet,would have quiet,would have quiet,would have quiet,would have quiet,callarse,Indicativo,Condicional perfecto,me habría callado,te habrías callado,se habría callado,nos habríamos callado,os habríais callado,se habrían callado,callándose,keeping quiet,callado,quiet
"to keep quiet , be quiet, shut up, be silent, remain silent",Subjunctive,Present,"I keep quiet, am keeping quiet",keep quiet,keep quiet,keep quiets,keep quiet,keep quiet,keep quiet,callarse,Subjuntivo,Presente,me calle,te calles,se calle,nos callemos,os calléis,se callen,callándose,keeping quiet,callado,quiet
"to keep quiet , be quiet, shut up, be silent, remain silent",Subjunctive,Imperfect,"I kept quiet, was keeping quiet",was keeping quiet,were keeping quiet,was keeping quiet,were keeping quiet,were keeping quiet,were keeping quiet,callarse,Subjuntivo,Imperfecto,me callara,te callaras,se callara,nos calláramos,os callarais,se callaran,callándose,keeping quiet,callado,quiet
"to keep quiet , be quiet, shut up, be silent, remain silent",Subjunctive,Future,I will keep quiet,will keep quiet,will keep quiet,will keep quiet,will keep quiet,will keep quiet,will keep quiet,callarse,Subjuntivo,Futuro,me callare,te callares,se callare,nos calláremos,os callareis,se callaren,callándose,keeping quiet,callado,quiet
"to keep quiet , be quiet, shut up, be silent, remain silent",Subjunctive,Present Perfect,"I have kept quiet, kept quiet",have quiet,have quiet,has quiet,have quiet,have quiet,have quiet,callarse,Subjuntivo,Presente perfecto,me haya callado,te hayas callado,se haya callado,nos hayamos callado,os hayáis callado,se hayan callado,callándose,keeping quiet,callado,quiet
"to keep quiet , be quiet, shut up, be silent, remain silent",Subjunctive,Future Perfect,I will have kept quiet,will have quiet,will have quiet,will have quiet,will have quiet,will have quiet,will have quiet,callarse,Subjuntivo,Futuro perfecto,me hubiere callado,te hubieres callado,se hubiere callado,nos hubiéremos callado,os hubiereis callado,se hubieren callado,callándose,keeping quiet,callado,quiet
"to keep quiet , be quiet, shut up, be silent, remain silent",Subjunctive,Past Perfect,I had kept quiet,had quiet,had quiet,had quiet,had quiet,had quiet,had quiet,callarse,Subjuntivo,Pluscuamperfecto,me hubiera callado,te hubieras callado,se hubiera callado,nos hubiéramos callado,os hubierais callado,se hubieran callado,callándose,keeping quiet,callado,quiet
"to keep quiet , be quiet, shut up, be silent, remain silent",Imperative Affirmative,Present,Keep quiet! Don't keep quiet!,keep quiet,keep quiet,keep quiets,keep quiet,keep quiet,keep quiet,callarse,Imperativo Afirmativo,Presente,,cállate,callaos,,cállese,cállense,callándose,keeping quiet,callado,quiet
"to keep quiet , be quiet, shut up, be silent, remain silent",Imperative Negative,Present,Keep quiet! Don't keep quiet!,keep quiet,keep quiet,keep quiets,keep quiet,keep quiet,keep quiet,callarse,Imperativo Negativo,Presente,,no te calles,no os calléis,,no se calle,no se callen,callándose,keeping quiet,callado,quiet
"to calm (down), quiet, soothe",Indicative,Present,"I calm, am calming",calm (down),calm (down),calm (down)s,calm (down),calm (down),calm (down),calmar,Indicativo,Presente,calmo,calmas,calma,calmamos,calmáis,calman,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Indicative,Future,I will calm,will calm (down),will calm (down),will calm (down),will calm (down),will calm (down),will calm (down),calmar,Indicativo,Futuro,calmaré,calmarás,calmará,calmaremos,calmaréis,calmarán,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Indicative,Imperfect,"I was calming, used to calm, calmed",was calming,were calming,was calming,were calming,were calming,were calming,calmar,Indicativo,Imperfecto,calmaba,calmabas,calmaba,calmábamos,calmabais,calmaban,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Indicative,Preterite,I calmed,calm,calm,calm,calm,calm,calm,calmar,Indicativo,Pretérito,calmé,calmaste,calmó,calmamos,calmasteis,calmaron,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Indicative,Conditional,I would calm,would calm (down),would calm (down),would calm (down),would calm (down),would calm (down),would calm (down),calmar,Indicativo,Condicional,calmaría,calmarías,calmaría,calmaríamos,calmaríais,calmarían,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Indicative,Present Perfect,I have calmed,have calm,have calm,has calm,have calm,have calm,have calm,calmar,Indicativo,Presente perfecto,he calmado,has calmado,ha calmado,hemos calmado,habéis calmado,han calmado,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Indicative,Future Perfect,I will have calmed,will have calm,will have calm,will have calm,will have calm,will have calm,will have calm,calmar,Indicativo,Futuro perfecto,habré calmado,habrás calmado,habrá calmado,habremos calmado,habréis calmado,habrán calmado,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Indicative,Past Perfect,I had calmed,had calm,had calm,had calm,had calm,had calm,had calm,calmar,Indicativo,Pluscuamperfecto,había calmado,habías calmado,había calmado,habíamos calmado,habíais calmado,habían calmado,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Indicative,Preterite (Archaic),I had calmed,,,,,,,calmar,Indicativo,Pretérito anterior,hube calmado,hubiste calmado,hubo calmado,hubimos calmado,hubisteis calmado,hubieron calmado,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Indicative,Conditional Perfect,I would have calmed,would have calm,would have calm,would have calm,would have calm,would have calm,would have calm,calmar,Indicativo,Condicional perfecto,habría calmado,habrías calmado,habría calmado,habríamos calmado,habríais calmado,habrían calmado,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Subjunctive,Present,"I calm, am calming",calm (down),calm (down),calm (down)s,calm (down),calm (down),calm (down),calmar,Subjuntivo,Presente,calme,calmes,calme,calmemos,calméis,calmen,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Subjunctive,Imperfect,"I calmed, was calming",was calming,were calming,was calming,were calming,were calming,were calming,calmar,Subjuntivo,Imperfecto,calmara,calmaras,calmara,calmáramos,calmarais,calmaran,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Subjunctive,Future,I will calm,will calm (down),will calm (down),will calm (down),will calm (down),will calm (down),will calm (down),calmar,Subjuntivo,Futuro,calmare,calmares,calmare,calmáremos,calmareis,calmaren,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Subjunctive,Present Perfect,"I have calmed, calmed",have calm,have calm,has calm,have calm,have calm,have calm,calmar,Subjuntivo,Presente perfecto,haya calmado,hayas calmado,haya calmado,hayamos calmado,hayáis calmado,hayan calmado,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Subjunctive,Future Perfect,I will have calmed,will have calm,will have calm,will have calm,will have calm,will have calm,will have calm,calmar,Subjuntivo,Futuro perfecto,hubiere calmado,hubieres calmado,hubiere calmado,hubiéremos calmado,hubiereis calmado,hubieren calmado,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Subjunctive,Past Perfect,I had calmed,had calm,had calm,had calm,had calm,had calm,had calm,calmar,Subjuntivo,Pluscuamperfecto,hubiera calmado,hubieras calmado,hubiera calmado,hubiéramos calmado,hubierais calmado,hubieran calmado,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Imperative Affirmative,Present,Calm! Don't calm!,calm (down),calm (down),calm (down)s,calm (down),calm (down),calm (down),calmar,Imperativo Afirmativo,Presente,,calma,calmad,,calme,calmen,calmando,calming,calmado,calm
"to calm (down), quiet, soothe",Imperative Negative,Present,Calm! Don't calm!,calm (down),calm (down),calm (down)s,calm (down),calm (down),calm (down),calmar,Imperativo Negativo,Presente,,no calmes,no calméis,,no calme,no calmen,calmando,calming,calmado,calm
to calm down [oneself],Indicative,Present,"I calm down, am calming down",calm down [oneself],calm down [oneself],calm down [oneself]s,calm down [oneself],calm down [oneself],calm down [oneself],calmarse,Indicativo,Presente,me calmo,te calmas,se calma,nos calmamos,os calmáis,se calman,calmándose,calming down,calmado,calm
to calm down [oneself],Indicative,Future,I will calm down,will calm down [oneself],will calm down [oneself],will calm down [oneself],will calm down [oneself],will calm down [oneself],will calm down [oneself],calmarse,Indicativo,Futuro,me calmaré,te calmarás,se calmará,nos calmaremos,os calmaréis,se calmarán,calmándose,calming down,calmado,calm
to calm down [oneself],Indicative,Imperfect,"I was calming down, used to calm down, calmed down",was calming down,were calming down,was calming down,were calming down,were calming down,were calming down,calmarse,Indicativo,Imperfecto,me calmaba,te calmabas,se calmaba,nos calmábamos,os calmabais,se calmaban,calmándose,calming down,calmado,calm
to calm down [oneself],Indicative,Preterite,I calmed down,calm,calm,calm,calm,calm,calm,calmarse,Indicativo,Pretérito,me calmé,te calmaste,se calmó,nos calmamos,os calmasteis,se calmaron,calmándose,calming down,calmado,calm
to calm down [oneself],Indicative,Conditional,I would calm down,would calm down [oneself],would calm down [oneself],would calm down [oneself],would calm down [oneself],would calm down [oneself],would calm down [oneself],calmarse,Indicativo,Condicional,me calmaría,te calmarías,se calmaría,nos calmaríamos,os calmaríais,se calmarían,calmándose,calming down,calmado,calm
to calm down [oneself],Indicative,Present Perfect,I have calmed down,have calm,have calm,has calm,have calm,have calm,have calm,calmarse,Indicativo,Presente perfecto,me he calmado,te has calmado,se ha calmado,nos hemos calmado,os habéis calmado,se han calmado,calmándose,calming down,calmado,calm
to calm down [oneself],Indicative,Future Perfect,I will have calmed down,will have calm,will have calm,will have calm,will have calm,will have calm,will have calm,calmarse,Indicativo,Futuro perfecto,me habré calmado,te habrás calmado,se habrá calmado,nos habremos calmado,os habréis calmado,se habrán calmado,calmándose,calming down,calmado,calm
to calm down [oneself],Indicative,Past Perfect,I had calmed down,had calm,had calm,had calm,had calm,had calm,had calm,calmarse,Indicativo,Pluscuamperfecto,me había calmado,te habías calmado,se había calmado,nos habíamos calmado,os habíais calmado,se habían calmado,calmándose,calming down,calmado,calm
to calm down [oneself],Indicative,Preterite (Archaic),I had calmed down,,,,,,,calmarse,Indicativo,Pretérito anterior,me hube calmado,te hubiste calmado,se hubo calmado,nos hubimos calmado,os hubisteis calmado,se hubieron calmado,calmándose,calming down,calmado,calm
to calm down [oneself],Indicative,Conditional Perfect,I would have calmed down,would have calm,would have calm,would have calm,would have calm,would have calm,would have calm,calmarse,Indicativo,Condicional perfecto,me habría calmado,te habrías calmado,se habría calmado,nos habríamos calmado,os habríais calmado,se habrían calmado,calmándose,calming down,calmado,calm
to calm down [oneself],Subjunctive,Present,"I calm down, am calming down",calm down [oneself],calm down [oneself],calm down [oneself]s,calm down [oneself],calm down [oneself],calm down [oneself],calmarse,Subjuntivo,Presente,me calme,te calmes,se calme,nos calmemos,os calméis,se calmen,calmándose,calming down,calmado,calm
to calm down [oneself],Subjunctive,Imperfect,"I calmed down, was calming down",was calming down,were calming down,was calming down,were calming down,were calming down,were calming down,calmarse,Subjuntivo,Imperfecto,me calmara,te calmaras,se calmara,nos calmáramos,os calmarais,se calmaran,calmándose,calming down,calmado,calm
to calm down [oneself],Subjunctive,Future,I will calm down,will calm down [oneself],will calm down [oneself],will calm down [oneself],will calm down [oneself],will calm down [oneself],will calm down [oneself],calmarse,Subjuntivo,Futuro,me calmare,te calmares,se calmare,nos calmáremos,os calmareis,se calmaren,calmándose,calming down,calmado,calm
to calm down [oneself],Subjunctive,Present Perfect,"I have calmed down, calmed down",have calm,have calm,has calm,have calm,have calm,have calm,calmarse,Subjuntivo,Presente perfecto,me haya calmado,te hayas calmado,se haya calmado,nos hayamos calmado,os hayáis calmado,se hayan calmado,calmándose,calming down,calmado,calm
to calm down [oneself],Subjunctive,Future Perfect,I will have calmed down,will have calm,will have calm,will have calm,will have calm,will have calm,will have calm,calmarse,Subjuntivo,Futuro perfecto,me hubiere calmado,te hubieres calmado,se hubiere calmado,nos hubiéremos calmado,os hubiereis calmado,se hubieren calmado,calmándose,calming down,calmado,calm
to calm down [oneself],Subjunctive,Past Perfect,I had calmed down,had calm,had calm,had calm,had calm,had calm,had calm,calmarse,Subjuntivo,Pluscuamperfecto,me hubiera calmado,te hubieras calmado,se hubiera calmado,nos hubiéramos calmado,os hubierais calmado,se hubieran calmado,calmándose,calming down,calmado,calm
to calm down [oneself],Imperative Affirmative,Present,Calm down! Don't calm down!,calm down [oneself],calm down [oneself],calm down [oneself]s,calm down [oneself],calm down [oneself],calm down [oneself],calmarse,Imperativo Afirmativo,Presente,,cálmate,calmaos,,cálmese,cálmense,calmándose,calming down,calmado,calm
to calm down [oneself],Imperative Negative,Present,Calm down! Don't calm down!,calm down [oneself],calm down [oneself],calm down [oneself]s,calm down [oneself],calm down [oneself],calm down [oneself],calmarse,Imperativo Negativo,Presente,,no te calmes,no os calméis,,no se calme,no se calmen,calmándose,calming down,calmado,calm
"to walk, go",Indicative,Present,"I walk, am walking",walk,walk,walks,walk,walk,walk,caminar,Indicativo,Presente,camino,caminas,camina,caminamos,camináis,caminan,caminando,walking,caminado,walked
"to walk, go",Indicative,Future,I will walk,will walk,will walk,will walk,will walk,will walk,will walk,caminar,Indicativo,Futuro,caminaré,caminarás,caminará,caminaremos,caminaréis,caminarán,caminando,walking,caminado,walked
"to walk, go",Indicative,Imperfect,"I was walking, used to walk, walked",was walking,were walking,was walking,were walking,were walking,were walking,caminar,Indicativo,Imperfecto,caminaba,caminabas,caminaba,caminábamos,caminabais,caminaban,caminando,walking,caminado,walked
"to walk, go",Indicative,Preterite,I walked,walked,walked,walked,walked,walked,walked,caminar,Indicativo,Pretérito,caminé,caminaste,caminó,caminamos,caminasteis,caminaron,caminando,walking,caminado,walked
"to walk, go",Indicative,Conditional,I would walk,would walk,would walk,would walk,would walk,would walk,would walk,caminar,Indicativo,Condicional,caminaría,caminarías,caminaría,caminaríamos,caminaríais,caminarían,caminando,walking,caminado,walked
"to walk, go",Indicative,Present Perfect,I have walked,have walked,have walked,has walked,have walked,have walked,have walked,caminar,Indicativo,Presente perfecto,he caminado,has caminado,ha caminado,hemos caminado,habéis caminado,han caminado,caminando,walking,caminado,walked
"to walk, go",Indicative,Future Perfect,I will have walked,will have walked,will have walked,will have walked,will have walked,will have walked,will have walked,caminar,Indicativo,Futuro perfecto,habré caminado,habrás caminado,habrá caminado,habremos caminado,habréis caminado,habrán caminado,caminando,walking,caminado,walked
"to walk, go",Indicative,Past Perfect,I had walked,had walked,had walked,had walked,had walked,had walked,had walked,caminar,Indicativo,Pluscuamperfecto,había caminado,habías caminado,había caminado,habíamos caminado,habíais caminado,habían caminado,caminando,walking,caminado,walked
"to walk, go",Indicative,Preterite (Archaic),I had walked,,,,,,,caminar,Indicativo,Pretérito anterior,hube caminado,hubiste caminado,hubo caminado,hubimos caminado,hubisteis caminado,hubieron caminado,caminando,walking,caminado,walked
"to walk, go",Indicative,Conditional Perfect,I would have walked,would have walked,would have walked,would have walked,would have walked,would have walked,would have walked,caminar,Indicativo,Condicional perfecto,habría caminado,habrías caminado,habría caminado,habríamos caminado,habríais caminado,habrían caminado,caminando,walking,caminado,walked
"to walk, go",Subjunctive,Present,"I walk, am walking",walk,walk,walks,walk,walk,walk,caminar,Subjuntivo,Presente,camine,camines,camine,caminemos,caminéis,caminen,caminando,walking,caminado,walked
"to walk, go",Subjunctive,Imperfect,"I walked, was walking",was walking,were walking,was walking,were walking,were walking,were walking,caminar,Subjuntivo,Imperfecto,caminara,caminaras,caminara,camináramos,caminarais,caminaran,caminando,walking,caminado,walked
"to walk, go",Subjunctive,Future,I will walk,will walk,will walk,will walk,will walk,will walk,will walk,caminar,Subjuntivo,Futuro,caminare,caminares,caminare,camináremos,caminareis,caminaren,caminando,walking,caminado,walked
"to walk, go",Subjunctive,Present Perfect,"I have walked, walked",have walked,have walked,has walked,have walked,have walked,have walked,caminar,Subjuntivo,Presente perfecto,haya caminado,hayas caminado,haya caminado,hayamos caminado,hayáis caminado,hayan caminado,caminando,walking,caminado,walked
"to walk, go",Subjunctive,Future Perfect,I will have walked,will have walked,will have walked,will have walked,will have walked,will have walked,will have walked,caminar,Subjuntivo,Futuro perfecto,hubiere caminado,hubieres caminado,hubiere caminado,hubiéremos caminado,hubiereis caminado,hubieren caminado,caminando,walking,caminado,walked
"to walk, go",Subjunctive,Past Perfect,I had walked,had walked,had walked,had walked,had walked,had walked,had walked,caminar,Subjuntivo,Pluscuamperfecto,hubiera caminado,hubieras caminado,hubiera caminado,hubiéramos caminado,hubierais caminado,hubieran caminado,caminando,walking,caminado,walked
"to walk, go",Imperative Affirmative,Present,Walk! Don't walk!,walk,walk,walks,walk,walk,walk,caminar,Imperativo Afirmativo,Presente,,camina,caminad,,camine,caminen,caminando,walking,caminado,walked
"to walk, go",Imperative Negative,Present,Walk! Don't walk!,walk,walk,walks,walk,walk,walk,caminar,Imperativo Negativo,Presente,,no camines,no caminéis,,no camine,no caminen,caminando,walking,caminado,walked
"to cancel; to wipe out, write off [debt]",Indicative,Present,"I cancel, am cancelling",cancel,cancel,cancels,cancel,cancel,cancel,cancelar,Indicativo,Presente,cancelo,cancelas,cancela,cancelamos,canceláis,cancelan,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Indicative,Future,I will cancel,will cancel,will cancel,will cancel,will cancel,will cancel,will cancel,cancelar,Indicativo,Futuro,cancelaré,cancelarás,cancelará,cancelaremos,cancelaréis,cancelarán,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Indicative,Imperfect,"I was cancelling, used to cancel, cancelled",was cancelling,were cancelling,was cancelling,were cancelling,were cancelling,were cancelling,cancelar,Indicativo,Imperfecto,cancelaba,cancelabas,cancelaba,cancelábamos,cancelabais,cancelaban,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Indicative,Preterite,I cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelar,Indicativo,Pretérito,cancelé,cancelaste,canceló,cancelamos,cancelasteis,cancelaron,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Indicative,Conditional,I would cancel,would cancel,would cancel,would cancel,would cancel,would cancel,would cancel,cancelar,Indicativo,Condicional,cancelaría,cancelarías,cancelaría,cancelaríamos,cancelaríais,cancelarían,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Indicative,Present Perfect,I have cancelled,have cancelled,have cancelled,has cancelled,have cancelled,have cancelled,have cancelled,cancelar,Indicativo,Presente perfecto,he cancelado,has cancelado,ha cancelado,hemos cancelado,habéis cancelado,han cancelado,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Indicative,Future Perfect,I will have cancelled,will have cancelled,will have cancelled,will have cancelled,will have cancelled,will have cancelled,will have cancelled,cancelar,Indicativo,Futuro perfecto,habré cancelado,habrás cancelado,habrá cancelado,habremos cancelado,habréis cancelado,habrán cancelado,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Indicative,Past Perfect,I had cancelled,had cancelled,had cancelled,had cancelled,had cancelled,had cancelled,had cancelled,cancelar,Indicativo,Pluscuamperfecto,había cancelado,habías cancelado,había cancelado,habíamos cancelado,habíais cancelado,habían cancelado,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Indicative,Preterite (Archaic),I had cancelled,,,,,,,cancelar,Indicativo,Pretérito anterior,hube cancelado,hubiste cancelado,hubo cancelado,hubimos cancelado,hubisteis cancelado,hubieron cancelado,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Indicative,Conditional Perfect,I would have cancelled,would have cancelled,would have cancelled,would have cancelled,would have cancelled,would have cancelled,would have cancelled,cancelar,Indicativo,Condicional perfecto,habría cancelado,habrías cancelado,habría cancelado,habríamos cancelado,habríais cancelado,habrían cancelado,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Subjunctive,Present,"I cancel, am cancelling",cancel,cancel,cancels,cancel,cancel,cancel,cancelar,Subjuntivo,Presente,cancele,canceles,cancele,cancelemos,canceléis,cancelen,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Subjunctive,Imperfect,"I cancelled, was cancelling",was cancelling,were cancelling,was cancelling,were cancelling,were cancelling,were cancelling,cancelar,Subjuntivo,Imperfecto,cancelara,cancelaras,cancelara,canceláramos,cancelarais,cancelaran,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Subjunctive,Future,I will cancel,will cancel,will cancel,will cancel,will cancel,will cancel,will cancel,cancelar,Subjuntivo,Futuro,cancelare,cancelares,cancelare,canceláremos,cancelareis,cancelaren,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Subjunctive,Present Perfect,"I have cancelled, cancelled",have cancelled,have cancelled,has cancelled,have cancelled,have cancelled,have cancelled,cancelar,Subjuntivo,Presente perfecto,haya cancelado,hayas cancelado,haya cancelado,hayamos cancelado,hayáis cancelado,hayan cancelado,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Subjunctive,Future Perfect,I will have cancelled,will have cancelled,will have cancelled,will have cancelled,will have cancelled,will have cancelled,will have cancelled,cancelar,Subjuntivo,Futuro perfecto,hubiere cancelado,hubieres cancelado,hubiere cancelado,hubiéremos cancelado,hubiereis cancelado,hubieren cancelado,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Subjunctive,Past Perfect,I had cancelled,had cancelled,had cancelled,had cancelled,had cancelled,had cancelled,had cancelled,cancelar,Subjuntivo,Pluscuamperfecto,hubiera cancelado,hubieras cancelado,hubiera cancelado,hubiéramos cancelado,hubierais cancelado,hubieran cancelado,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Imperative Affirmative,Present,Cancel! Don't cancel!,cancel,cancel,cancels,cancel,cancel,cancel,cancelar,Imperativo Afirmativo,Presente,,cancela,cancelad,,cancele,cancelen,cancelando,cancelling,cancelado,cancelled
"to cancel; to wipe out, write off [debt]",Imperative Negative,Present,Cancel! Don't cancel!,cancel,cancel,cancels,cancel,cancel,cancel,cancelar,Imperativo Negativo,Presente,,no canceles,no canceléis,,no cancele,no cancelen,cancelando,cancelling,cancelado,cancelled
"to tire, tire out, fatigue, wear out",Indicative,Present,"I tire, am tiring",tire,tire,tires,tire,tire,tire,cansar,Indicativo,Presente,canso,cansas,cansa,cansamos,cansáis,cansan,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Indicative,Future,I will tire,will tire,will tire,will tire,will tire,will tire,will tire,cansar,Indicativo,Futuro,cansaré,cansarás,cansará,cansaremos,cansaréis,cansarán,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Indicative,Imperfect,"I was tiring, used to tire, tired",was tiring,were tiring,was tiring,were tiring,were tiring,were tiring,cansar,Indicativo,Imperfecto,cansaba,cansabas,cansaba,cansábamos,cansabais,cansaban,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Indicative,Preterite,I tired,tired,tired,tired,tired,tired,tired,cansar,Indicativo,Pretérito,cansé,cansaste,cansó,cansamos,cansasteis,cansaron,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Indicative,Conditional,I would tire,would tire,would tire,would tire,would tire,would tire,would tire,cansar,Indicativo,Condicional,cansaría,cansarías,cansaría,cansaríamos,cansaríais,cansarían,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Indicative,Present Perfect,I have tired,have tired,have tired,has tired,have tired,have tired,have tired,cansar,Indicativo,Presente perfecto,he cansado,has cansado,ha cansado,hemos cansado,habéis cansado,han cansado,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Indicative,Future Perfect,I will have tired,will have tired,will have tired,will have tired,will have tired,will have tired,will have tired,cansar,Indicativo,Futuro perfecto,habré cansado,habrás cansado,habrá cansado,habremos cansado,habréis cansado,habrán cansado,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Indicative,Past Perfect,I had tired,had tired,had tired,had tired,had tired,had tired,had tired,cansar,Indicativo,Pluscuamperfecto,había cansado,habías cansado,había cansado,habíamos cansado,habíais cansado,habían cansado,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Indicative,Preterite (Archaic),I had tired,,,,,,,cansar,Indicativo,Pretérito anterior,hube cansado,hubiste cansado,hubo cansado,hubimos cansado,hubisteis cansado,hubieron cansado,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Indicative,Conditional Perfect,I would have tired,would have tired,would have tired,would have tired,would have tired,would have tired,would have tired,cansar,Indicativo,Condicional perfecto,habría cansado,habrías cansado,habría cansado,habríamos cansado,habríais cansado,habrían cansado,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Subjunctive,Present,"I tire, am tiring",tire,tire,tires,tire,tire,tire,cansar,Subjuntivo,Presente,canse,canses,canse,cansemos,canséis,cansen,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Subjunctive,Imperfect,"I tired, was tiring",was tiring,were tiring,was tiring,were tiring,were tiring,were tiring,cansar,Subjuntivo,Imperfecto,cansara,cansaras,cansara,cansáramos,cansarais,cansaran,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Subjunctive,Future,I will tire,will tire,will tire,will tire,will tire,will tire,will tire,cansar,Subjuntivo,Futuro,cansare,cansares,cansare,cansáremos,cansareis,cansaren,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Subjunctive,Present Perfect,"I have tired, tired",have tired,have tired,has tired,have tired,have tired,have tired,cansar,Subjuntivo,Presente perfecto,haya cansado,hayas cansado,haya cansado,hayamos cansado,hayáis cansado,hayan cansado,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Subjunctive,Future Perfect,I will have tired,will have tired,will have tired,will have tired,will have tired,will have tired,will have tired,cansar,Subjuntivo,Futuro perfecto,hubiere cansado,hubieres cansado,hubiere cansado,hubiéremos cansado,hubiereis cansado,hubieren cansado,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Subjunctive,Past Perfect,I had tired,had tired,had tired,had tired,had tired,had tired,had tired,cansar,Subjuntivo,Pluscuamperfecto,hubiera cansado,hubieras cansado,hubiera cansado,hubiéramos cansado,hubierais cansado,hubieran cansado,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Imperative Affirmative,Present,Tire! Don't tire!,tire,tire,tires,tire,tire,tire,cansar,Imperativo Afirmativo,Presente,,cansa,cansad,,canse,cansen,cansando,tiring,cansado,tired
"to tire, tire out, fatigue, wear out",Imperative Negative,Present,Tire! Don't tire!,tire,tire,tires,tire,tire,tire,cansar,Imperativo Negativo,Presente,,no canses,no canséis,,no canse,no cansen,cansando,tiring,cansado,tired
"to get tired, get worn out, get weary",Indicative,Present,"I get tired, am getting tired",get tired,get tired,get tireds,get tired,get tired,get tired,cansarse,Indicativo,Presente,me canso,te cansas,se cansa,nos cansamos,os cansáis,se cansan,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Indicative,Future,I will get tired,will get tired,will get tired,will get tired,will get tired,will get tired,will get tired,cansarse,Indicativo,Futuro,me cansaré,te cansarás,se cansará,nos cansaremos,os cansaréis,se cansarán,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Indicative,Imperfect,"I was getting tired, used to get tired, got tired",was getting tired,were getting tired,was getting tired,were getting tired,were getting tired,were getting tired,cansarse,Indicativo,Imperfecto,me cansaba,te cansabas,se cansaba,nos cansábamos,os cansabais,se cansaban,cansándose,getting tired,cansado,tired
